Name,FIPS,"# Total Population, 2023 [Estimated]","Median Household Income, 2023 [Estimated]","# Housing Occupancy Status | Occupied, 2023 [Estimated]","# Vehicles Available | Occupied housing units, 2023 [Estimated]","# Vehicles Available | No vehicle available, 2023 [Estimated]","% Transportation to Work | Car, truck, or van, 2023 [Estimated]","% Transportation to Work | Public transportation, 2023 [Estimated]","% Transportation to Work | Bicycle, 2023 [Estimated]","% Transportation to Work | Walked, 2023 [Estimated]"
"BG5223003, Wayne County, MI",261635223003,0,11415.606668669,0,0,0,0,0,0,0
"BG5243002, Wayne County, MI",261635243002,0,52679.821137876,0,0,0,0,0,0,0
"BG5245003, Wayne County, MI",261635245003,0,14311.886951488,0,0,0,0,0,0,0
"BG5257002, Wayne County, MI",261635257002,0,50480.49879826,0,0,0,0,0,0,0
"BG5303003, Wayne County, MI",261635303003,0,,0,0,0,0,0,0,0
"BG5373002, Wayne County, MI",261635373002,0,44444.148193581,0,0,0,0,0,0,0
"BG5455001, Wayne County, MI",261635455001,0,23774.617042953,90,90,12,90.0826,1.6529,0,0
"BG5471001, Wayne County, MI",261635471001,0,,0,0,0,0,0,0,0
"BG9817001, Wayne County, MI",261639817001,0,,0,0,0,0,0,0,0
"BG9818001, Wayne County, MI",261639818001,0,,0,0,0,0,0,0,0
"BG9836003, Wayne County, MI",261639836003,0,,0,0,0,0,0,0,0
"BG9841001, Wayne County, MI",261639841001,0,,0,0,0,0,0,0,0
"BG9842001, Wayne County, MI",261639842001,0,,0,0,0,0,0,0,0
"BG9850001, Wayne County, MI",261639850001,0,,0,0,0,0,0,0,0
"BG9850002, Wayne County, MI",261639850002,0,,0,0,0,0,0,0,0
"BG9852001, Wayne County, MI",261639852001,0,,0,0,0,0,0,0,0
"BG9855001, Wayne County, MI",261639855001,0,,0,0,0,0,0,0,0
"BG9858001, Wayne County, MI",261639858001,0,,0,0,0,0,0,0,0
"BG9859001, Wayne County, MI",261639859001,0,,0,0,0,0,0,0,0
